HomeTeam,AwayTeam,FTHG,FTAG,FTR
Brest,Paris SG,0,3,A
Monaco,Toulouse,1,0,H
Lens,Marseille,2,1,H
Lille,Metz,6,1,H
Angers,Lorient,2,0,H
Auxerre,Le Havre,0,1,A
Rennes,Nice,1,2,A
Lyon,Strasbourg,2,1,H
Le Havre,Brest,1,0,H
Lorient,Paris SG,1,1,D
Metz,Lens,2,0,H
Nice,Lille,2,0,H
Marseille,Angers,2,2,D
Nantes,Monaco,3,5,A
Paris FC,Lyon,3,3,D
Strasbourg,Auxerre,3,0,H
Toulouse,Rennes,2,2,D
Paris SG,Nice,1,0,H
Monaco,Paris FC,0,1,A
Auxerre,Marseille,0,1,A
Rennes,Strasbourg,4,1,H
Lens,Lorient,3,0,H
Lille,Angers,1,0,H
Nantes,Metz,0,2,A
Toulouse,Le Havre,0,0,D
Brest,Lyon,0,0,D
Paris FC,Rennes,0,1,A
Marseille,Brest,3,0,H
Le Havre,Nantes,1,1,D
Monaco,Lens,1,4,A
Lorient,Toulouse,1,1,D
Angers,Auxerre,2,0,H
Metz,Nice,2,1,H
Strasbourg,Lille,2,0,H
Lyon,Paris SG,2,3,A
Nice,Marseille,1,5,A
Lens,Strasbourg,1,0,H
Rennes,Monaco,4,1,H
Paris SG,Le Havre,3,0,H
Auxerre,Lyon,0,0,D
Brest,Metz,3,2,H
Nantes,Lorient,1,1,D
Toulouse,Angers,0,1,A
Lille,Paris FC,4,2,H
Metz,Rennes,0,1,A
Monaco,Paris SG,1,0,H
Paris FC,Auxerre,1,1,D
Marseille,Toulouse,2,2,D
Strasbourg,Brest,1,2,A
Angers,Lens,1,2,A
Le Havre,Lille,0,1,A
Lorient,Nice,3,1,H
Lyon,Nantes,3,0,H
Brest,Monaco,1,0,H
Lille,Marseille,1,0,H
Nantes,Lens,1,2,A
Toulouse,Strasbourg,1,0,H
Paris SG,Rennes,5,0,H
Nice,Angers,0,1,A
Auxerre,Metz,3,1,H
Le Havre,Paris FC,0,0,D
Lorient,Lyon,1,0,H
Liverpool,Bournemouth,4,2,H
Aston Villa,Newcastle,0,0,D
Brighton,Fulham,1,1,D
Sunderland,West Ham,3,0,H
Tottenham,Burnley,3,0,H
Wolves,Man City,0,4,A
Chelsea,Crystal Palace,0,0,D
Nott'm Forest,Brentford,3,1,H
Man United,Arsenal,0,1,A
Leeds,Everton,1,0,H
West Ham,Chelsea,1,5,A
Man City,Tottenham,0,2,A
Bournemouth,Wolves,1,0,H
Brentford,Aston Villa,1,0,H
Burnley,Sunderland,2,0,H
Arsenal,Leeds,5,0,H
Crystal Palace,Nott'm Forest,1,1,D
Everton,Brighton,2,0,H
Fulham,Man United,1,1,D
Newcastle,Liverpool,2,3,A
Chelsea,Fulham,2,0,H
Man United,Burnley,3,2,H
Sunderland,Brentford,2,1,H
Tottenham,Bournemouth,0,1,A
Wolves,Everton,2,3,A
Leeds,Newcastle,0,0,D
Brighton,Man City,2,1,H
Nott'm Forest,West Ham,0,3,A
Liverpool,Arsenal,1,0,H
Aston Villa,Crystal Palace,0,3,A
Arsenal,Nott'm Forest,3,0,H
Bournemouth,Brighton,2,1,H
Crystal Palace,Sunderland,0,0,D
Everton,Aston Villa,0,0,D
Fulham,Leeds,1,0,H
Newcastle,Wolves,1,0,H
West Ham,Tottenham,0,3,A
Brentford,Chelsea,2,2,D
Burnley,Liverpool,0,1,A
Man City,Man United,3,0,H
Liverpool,Everton,2,1,H
Brighton,Tottenham,2,2,D
Burnley,Nott'm Forest,1,1,D
West Ham,Crystal Palace,1,2,A
Wolves,Leeds,1,3,A
Man United,Chelsea,2,1,H
Fulham,Brentford,3,1,H
Bournemouth,Newcastle,0,0,D
Sunderland,Aston Villa,1,1,D
Arsenal,Man City,1,1,D
Brentford,Man United,3,1,H
Chelsea,Brighton,1,3,A
Crystal Palace,Liverpool,2,1,H
Leeds,Bournemouth,2,2,D
Man City,Burnley,5,1,H
Nott'm Forest,Sunderland,0,1,A
Tottenham,Wolves,1,1,D
Aston Villa,Fulham,3,1,H
Newcastle,Arsenal,1,2,A
Everton,West Ham,1,1,D
Bournemouth,Fulham,3,1,H
Leeds,Tottenham,1,2,A
Arsenal,West Ham,2,0,H
Man United,Sunderland,2,0,H
Chelsea,Liverpool,2,1,H
Aston Villa,Burnley,2,1,H
Everton,Crystal Palace,2,1,H
Newcastle,Nott'm Forest,2,0,H
Wolves,Brighton,1,1,D
Brentford,Man City,0,1,A
Nott'm Forest,Chelsea,0,3,A
Brighton,Newcastle,2,1,H
Burnley,Leeds,2,0,H
Crystal Palace,Bournemouth,3,3,D
Man City,Everton,2,0,H
Sunderland,Wolves,2,0,H
Fulham,Arsenal,0,1,A
Tottenham,Aston Villa,1,2,A
Liverpool,Man United,1,2,A
West Ham,Brentford,0,2,A
Leeds,West Ham,2,1,H
Chelsea,Sunderland,1,2,A
Newcastle,Fulham,2,1,H
Man United,Brighton,4,2,H
Brentford,Liverpool,3,2,H
Arsenal,Crystal Palace,1,0,H
Aston Villa,Man City,1,0,H
Bournemouth,Nott'm Forest,2,0,H
Wolves,Burnley,2,3,A
Everton,Tottenham,0,3,A
Brighton,Leeds,3,0,H
Burnley,Arsenal,0,2,A
Crystal Palace,Brentford,2,0,H
Fulham,Wolves,3,0,H
Nott'm Forest,Man United,2,2,D
Tottenham,Chelsea,0,1,A
Liverpool,Aston Villa,2,0,H
West Ham,Newcastle,3,1,H
Man City,Bournemouth,3,1,H
Sunderland,Everton,1,1,D
Tottenham,Man United,2,2,D
Everton,Fulham,2,0,H
West Ham,Burnley,3,2,H
Sunderland,Arsenal,2,2,D
Chelsea,Wolves,3,0,H
Aston Villa,Bournemouth,4,0,H
Brentford,Newcastle,3,1,H
Crystal Palace,Brighton,0,0,D
Nott'm Forest,Leeds,3,1,H
Man City,Liverpool,3,0,H
Burnley,Chelsea,0,2,A
Bournemouth,West Ham,2,2,D
Brighton,Brentford,2,1,H
Fulham,Sunderland,1,0,H
Liverpool,Nott'm Forest,0,3,A
Wolves,Crystal Palace,0,2,A
Newcastle,Man City,2,1,H
Leeds,Aston Villa,1,2,A
Arsenal,Tottenham,4,1,H
Man United,Everton,0,1,A
Brentford,Burnley,3,1,H
Man City,Leeds,3,2,H
Sunderland,Bournemouth,3,2,H
Everton,Newcastle,1,4,A
Tottenham,Fulham,1,2,A
Crystal Palace,Man United,1,2,A
Aston Villa,Wolves,1,0,H
Nott'm Forest,Brighton,0,2,A
West Ham,Liverpool,0,2,A
Chelsea,Arsenal,1,1,D
Bournemouth,Everton,0,1,A
Fulham,Man City,4,5,A
Newcastle,Tottenham,2,2,D
Arsenal,Brentford,2,0,H
Brighton,Aston Villa,3,4,A
Burnley,Crystal Palace,0,1,A
Wolves,Nott'm Forest,0,1,A
Leeds,Chelsea,3,1,H
Liverpool,Sunderland,1,1,D
Man United,West Ham,1,1,D
Aston Villa,Arsenal,2,1,H
Bournemouth,Chelsea,0,0,D
Everton,Nott'm Forest,3,0,H
Man City,Sunderland,3,0,H
Newcastle,Burnley,2,1,H
Tottenham,Brentford,2,0,H
Leeds,Liverpool,3,3,D
Brighton,West Ham,1,1,D
Fulham,Crystal Palace,1,2,A
Wolves,Man United,1,4,A
Genoa,Lecce,0,0,D
Sassuolo,Napoli,0,2,A
Milan,Cremonese,1,2,A
Roma,Bologna,1,0,H
Cagliari,Fiorentina,1,1,D
Como,Lazio,2,0,H
Atalanta,Pisa,1,1,D
Juventus,Parma,2,0,H
Udinese,Verona,1,1,D
Inter,Torino,5,0,H
Cremonese,Sassuolo,3,2,H
Lecce,Milan,0,2,A
Bologna,Como,1,0,H
Parma,Atalanta,1,1,D
Napoli,Cagliari,1,0,H
Pisa,Roma,0,1,A
Genoa,Juventus,0,1,A
Torino,Fiorentina,0,0,D
Inter,Udinese,1,2,A
Lazio,Verona,4,0,H
Cagliari,Parma,2,0,H
Juventus,Inter,4,3,H
Fiorentina,Napoli,1,3,A
Roma,Torino,0,1,A
Atalanta,Lecce,4,1,H
Pisa,Udinese,0,1,A
Sassuolo,Lazio,1,0,H
Milan,Bologna,1,0,H
Verona,Cremonese,0,0,D
Como,Genoa,1,1,D
Lecce,Cagliari,1,2,A
Bologna,Genoa,2,1,H
Verona,Juventus,1,1,D
Udinese,Milan,0,3,A
Lazio,Roma,0,1,A
Cremonese,Parma,0,0,D
Torino,Atalanta,0,3,A
Fiorentina,Como,1,2,A
Inter,Sassuolo,2,1,H
Napoli,Pisa,3,2,H
Como,Cremonese,1,1,D
Juventus,Atalanta,1,1,D
Cagliari,Inter,0,2,A
Sassuolo,Udinese,3,1,H
Pisa,Fiorentina,0,0,D
Roma,Verona,2,0,H
Lecce,Bologna,2,2,D
Milan,Napoli,2,1,H
Parma,Torino,2,1,H
Genoa,Lazio,0,3,A
Verona,Sassuolo,0,1,A
Lazio,Torino,3,3,D
Parma,Lecce,0,1,A
Inter,Cremonese,4,1,H
Atalanta,Como,1,1,D
Udinese,Cagliari,1,1,D
Bologna,Pisa,4,0,H
Fiorentina,Roma,1,2,A
Napoli,Genoa,2,1,H
Juventus,Milan,0,0,D
Lecce,Sassuolo,0,0,D
Pisa,Verona,0,0,D
Torino,Napoli,1,0,H
Roma,Inter,0,1,A
Como,Juventus,2,0,H
Cagliari,Bologna,0,2,A
Genoa,Parma,0,0,D
Atalanta,Lazio,0,0,D
Milan,Fiorentina,2,1,H
Cremonese,Udinese,1,1,D
Milan,Pisa,2,2,D
Parma,Como,0,0,D
Udinese,Lecce,3,2,H
Napoli,Inter,3,1,H
Cremonese,Atalanta,1,1,D
Torino,Genoa,2,1,H
Sassuolo,Roma,0,1,A
Verona,Cagliari,2,2,D
Fiorentina,Bologna,2,2,D
Lazio,Juventus,1,0,H
Lecce,Napoli,0,1,A
Atalanta,Milan,1,1,D
Como,Verona,3,1,H
Juventus,Udinese,3,1,H
Roma,Parma,2,1,H
Bologna,Torino,0,0,D
Genoa,Cremonese,0,2,A
Inter,Fiorentina,3,0,H
Cagliari,Sassuolo,1,2,A
Pisa,Lazio,0,0,D
Udinese,Atalanta,1,0,H
Napoli,Como,0,0,D
Cremonese,Juventus,1,2,A
Verona,Inter,1,2,A
Fiorentina,Lecce,0,1,A
Torino,Pisa,2,2,D
Parma,Bologna,1,3,A
Milan,Roma,1,0,H
Sassuolo,Genoa,1,2,A
Lazio,Cagliari,2,0,H
Pisa,Cremonese,1,0,H
Como,Cagliari,0,0,D
Lecce,Verona,0,0,D
Juventus,Torino,0,0,D
Parma,Milan,2,2,D
Atalanta,Sassuolo,0,3,A
Bologna,Napoli,2,0,H
Genoa,Fiorentina,2,2,D
Roma,Udinese,2,0,H
Inter,Lazio,2,0,H
Cagliari,Genoa,3,3,D
Udinese,Bologna,0,3,A
Fiorentina,Juventus,1,1,D
Napoli,Atalanta,3,1,H
Verona,Parma,1,2,A
Cremonese,Roma,1,3,A
Lazio,Lecce,2,0,H
Inter,Milan,0,1,A
Torino,Como,1,5,A
Sassuolo,Pisa,2,2,D
Como,Sassuolo,2,0,H
Genoa,Verona,2,1,H
Parma,Udinese,0,2,A
