Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HY,AY,HR,AR,HC,AC,HST,AST,HF,AF,BTTS,HomeGoalsAvg,AwayGoalsAvg,GoalDiff,HY_avg,AY_avg,HR_avg,AR_avg,HC_avg,AC_avg,HST_avg,AST_avg,HF_avg,AF_avg,Home_Win_Streak,Home_BTTS_Streak,Home_CleanSheet_Streak,Away_Win_Streak,Away_BTTS_Streak,Away_CleanSheet_Streak
2025-10-05,Brentford,Man City,0,1,A,3,2,0,0,3,2,1,4,10,6,0,2.142857142857143,1.8571428571428572,0.2857142857142856,2.0,2.2857142857142856,0.0,0.0,4.285714285714286,4.142857142857143,4.857142857142857,3.7142857142857144,10.285714285714286,9.714285714285714,2,3,0,4,3,2
2025-10-18,Nott'm Forest,Chelsea,0,3,A,2,2,0,1,5,2,2,6,13,16,0,1.1428571428571428,1.875,-0.7321428571428572,1.4285714285714286,2.25,0.0,0.25,7.0,4.25,4.0,5.0,10.857142857142858,11.875,3,1,2,2,2,3
2025-10-18,Brighton,Newcastle,2,1,H,0,1,0,0,8,4,5,3,9,9,1,2.0,1.0,1.0,1.75,1.0,0.0,0.0,5.375,4.571428571428571,5.375,3.142857142857143,11.625,10.571428571428571,2,3,2,3,5,0
2025-10-18,Burnley,Leeds,2,0,H,2,1,0,0,1,5,3,4,10,7,0,0.7142857142857143,0.8571428571428571,-0.1428571428571428,1.0,1.2857142857142858,0.0,0.0,2.142857142857143,3.142857142857143,2.2857142857142856,3.0,10.285714285714286,10.142857142857142,0,3,0,1,5,0
2025-10-18,Crystal Palace,Bournemouth,3,3,D,1,4,0,0,6,5,7,5,8,16,1,1.2857142857142858,1.5714285714285714,-0.2857142857142856,1.4285714285714286,3.0,0.0,0.14285714285714285,4.0,5.714285714285714,4.428571428571429,4.857142857142857,10.0,13.714285714285714,3,2,3,0,2,1
2025-10-18,Man City,Everton,2,0,H,0,2,0,0,11,3,7,1,8,14,0,2.75,1.0,1.75,1.375,1.8571428571428572,0.0,0.14285714285714285,7.625,2.7142857142857144,6.75,2.0,9.5,11.0,4,3,2,4,1,4
2025-10-18,Sunderland,Wolves,2,0,H,0,0,0,0,3,2,2,3,5,12,0,2.0,0.14285714285714285,1.8571428571428572,2.142857142857143,2.7142857142857144,0.14285714285714285,0.2857142857142857,4.142857142857143,3.2857142857142856,3.5714285714285716,2.2857142857142856,10.714285714285714,15.0,1,3,0,0,1,0
2025-10-18,Fulham,Arsenal,0,1,A,0,0,0,0,6,10,0,5,11,4,0,1.75,1.25,0.5,1.25,2.125,0.0,0.0,6.25,6.0,4.0,5.5,10.75,11.125,2,3,1,2,4,1
2025-10-19,Tottenham,Aston Villa,1,2,A,2,0,0,0,6,6,3,2,11,7,1,1.25,1.2857142857142858,-0.03571428571428581,2.75,1.7142857142857142,0.0,0.0,6.0,5.142857142857143,3.375,3.2857142857142856,11.75,10.714285714285714,1,4,1,5,3,2
2025-10-19,Liverpool,Man United,1,2,A,0,2,0,0,9,4,6,4,8,14,1,1.5714285714285714,1.75,-0.1785714285714286,1.4285714285714286,1.375,0.0,0.0,5.571428571428571,4.625,4.857142857142857,5.0,9.571428571428571,10.375,1,2,1,2,4,0
2025-10-20,West Ham,Brentford,0,2,A,1,1,0,0,6,10,1,7,10,10,0,1.1428571428571428,0.75,0.3928571428571428,1.1428571428571428,2.0,0.2857142857142857,0.0,6.285714285714286,6.5,3.857142857142857,3.125,10.285714285714286,11.0,1,4,0,2,3,0
2025-10-24,Leeds,West Ham,2,1,H,3,3,0,0,3,4,5,3,12,11,1,1.625,1.125,0.5,2.125,2.0,0.0,0.0,4.75,5.0,4.5,3.5,11.5,10.5,1,5,0,1,4,0
2025-10-25,Chelsea,Sunderland,1,2,A,1,1,0,0,9,1,7,4,15,13,1,1.4285714285714286,0.5,0.9285714285714286,1.4285714285714286,1.625,0.2857142857142857,0.125,7.285714285714286,3.25,5.285714285714286,2.5,11.142857142857142,9.0,2,2,3,1,3,0
2025-10-25,Newcastle,Fulham,2,1,H,0,2,0,0,4,3,7,5,11,18,1,1.75,0.8571428571428571,0.8928571428571429,1.0,2.2857142857142856,0.125,0.0,7.625,4.0,5.625,3.5714285714285716,11.125,13.428571428571429,3,5,0,2,3,1
2025-10-25,Man United,Brighton,4,2,H,2,2,0,0,1,6,9,5,4,13,1,1.7142857142857142,1.2857142857142858,0.4285714285714284,1.2857142857142858,3.2857142857142856,0.14285714285714285,0.0,4.714285714285714,5.285714285714286,6.0,4.142857142857143,10.142857142857142,12.142857142857142,2,4,0,2,3,2
2025-10-25,Brentford,Liverpool,3,2,H,3,2,0,0,5,4,8,5,7,10,1,2.142857142857143,1.625,0.5178571428571428,2.0,2.375,0.0,0.0,4.285714285714286,4.875,4.857142857142857,4.0,10.285714285714286,11.625,2,3,0,1,2,1
2025-10-26,Arsenal,Crystal Palace,1,0,H,0,0,0,0,4,3,3,1,6,11,0,2.5714285714285716,1.375,1.1964285714285716,0.42857142857142855,1.875,0.0,0.0,5.857142857142857,3.75,5.142857142857143,4.0,9.285714285714286,10.375,2,4,1,3,2,3
2025-10-26,Aston Villa,Man City,1,0,H,1,4,0,0,5,6,3,4,8,16,0,1.625,1.8571428571428572,-0.2321428571428572,1.25,2.2857142857142856,0.125,0.0,5.25,4.142857142857143,5.125,3.7142857142857144,9.75,9.714285714285714,5,3,2,4,3,2
2025-10-26,Bournemouth,Nott'm Forest,2,0,H,3,1,0,0,6,4,5,4,17,7,0,1.25,0.75,0.5,2.125,1.875,0.0,0.0,5.25,4.375,4.875,3.875,12.375,11.125,0,2,1,3,1,2
2025-10-26,Wolves,Burnley,2,3,A,1,0,0,0,5,3,7,7,12,7,1,0.875,1.375,-0.5,1.5,1.875,0.0,0.125,2.75,4.25,3.375,3.75,14.125,9.625,0,1,0,0,3,0
2025-10-26,Everton,Tottenham,0,3,A,2,0,0,0,9,8,2,4,9,8,0,1.375,2.142857142857143,-0.7678571428571428,2.5,2.2857142857142856,0.0,0.0,5.875,6.142857142857143,4.0,3.4285714285714284,10.625,11.285714285714286,4,1,4,1,4,1
2025-11-01,Brighton,Leeds,3,0,H,0,1,0,0,4,7,7,2,10,7,0,2.0,0.8571428571428571,1.1428571428571428,1.75,1.2857142857142858,0.0,0.0,5.375,3.142857142857143,5.375,3.0,11.625,10.142857142857142,2,3,2,1,5,0
2025-11-01,Burnley,Arsenal,0,2,A,2,1,0,0,1,6,0,8,10,13,0,0.7142857142857143,1.25,-0.5357142857142857,1.0,2.125,0.0,0.0,2.142857142857143,6.0,2.2857142857142856,5.5,10.285714285714286,11.125,0,3,0,2,4,1
2025-11-01,Crystal Palace,Brentford,2,0,H,0,3,0,0,6,5,2,2,7,11,0,1.2857142857142858,0.75,0.5357142857142858,1.4285714285714286,2.0,0.0,0.0,4.0,6.5,4.428571428571429,3.125,10.0,11.0,3,2,3,2,3,0
2025-11-01,Fulham,Wolves,3,0,H,1,3,0,1,10,1,6,2,13,14,0,1.75,0.14285714285714285,1.6071428571428572,1.25,2.7142857142857144,0.0,0.2857142857142857,6.25,3.2857142857142856,4.0,2.2857142857142856,10.75,15.0,2,3,1,0,1,0
2025-11-01,Nott'm Forest,Man United,2,2,D,1,1,0,0,8,5,3,7,10,7,1,1.1428571428571428,1.75,-0.6071428571428572,1.4285714285714286,1.375,0.0,0.0,7.0,4.625,4.0,5.0,10.857142857142858,10.375,3,1,2,2,4,0
2025-11-01,Tottenham,Chelsea,0,1,A,4,2,0,0,6,5,1,9,14,12,0,1.25,1.875,-0.625,2.75,2.25,0.0,0.25,6.0,4.25,3.375,5.0,11.75,11.875,1,4,1,2,2,3
